asciiname,population,location
"Istanbul",14804116,"https://www.google.com/maps/?q=41.01384,28.94966"
"Ankara",3517182,"https://www.google.com/maps/?q=39.91987,32.85427"
"Izmir",2500603,"https://www.google.com/maps/?q=38.41273,27.13838"
"Kocaeli",1780000,"https://www.google.com/maps/?q=40.19559,29.06013"
"Bursa",1412701,"https://www.google.com/maps/?q=40.19559,29.06013"
"Adana",1248988,"https://www.google.com/maps/?q=37.00167,35.32889"
"Gaziantep",1065975,"https://www.google.com/maps/?q=37.05944,37.3825"
"Sakarya",990214,"https://www.google.com/maps/?q=37.87135,32.48464"
"Konya",875530,"https://www.google.com/maps/?q=37.87135,32.48464"
"Cankaya",792189,"https://www.google.com/maps/?q=39.9179,32.86268"
"Antalya",758188,"https://www.google.com/maps/?q=36.90812,30.69556"
"Bagcilar",724270,"https://www.google.com/maps/?q=41.03903,28.85671"
"Diyarbakir",644763,"https://www.google.com/maps/?q=37.91363,40.21721"
"Kayseri",592840,"https://www.google.com/maps/?q=38.73222,35.48528"
"UEskuedar",582666,"https://www.google.com/maps/?q=41.02252,29.02369"
"Bahcelievler",576799,"https://www.google.com/maps/?q=41.00231,28.8598"
"Umraniye",573265,"https://www.google.com/maps/?q=41.01643,29.12476"
"Mersin",537842,"https://www.google.com/maps/?q=36.81196,34.63886"
"Esenler",520235,"https://www.google.com/maps/?q=41.0435,28.87619"
"Eskisehir",514869,"https://www.google.com/maps/?q=39.77667,30.52056"
"Karabaglar",458000,"https://www.google.com/maps/?q=38.37396,27.1352"
"Muratpasa",450000,"https://www.google.com/maps/?q=36.89157,30.76498"
"Sanliurfa",449549,"https://www.google.com/maps/?q=37.16708,38.79392"
"Malatya",441805,"https://www.google.com/maps/?q=38.35018,38.31667"
"Sultangazi",436935,"https://www.google.com/maps/?q=41.10652,28.86847"
"Maltepe",427040,"https://www.google.com/maps/?q=40.93567,29.15507"
"Erzurum",420691,"https://www.google.com/maps/?q=39.90861,41.27694"
"Samsun",394050,"https://www.google.com/maps/?q=41.27976,36.3361"
"Batman",381990,"https://www.google.com/maps/?q=37.88738,41.13221"
"Kahramanmaras",376045,"https://www.google.com/maps/?q=37.5847,36.92641"
"Van",371713,"https://www.google.com/maps/?q=38.49457,43.38323"
"Atasehir",361615,"https://www.google.com/maps/?q=40.9833,29.1167"
"Sisli",314684,"https://www.google.com/maps/?q=41.06046,28.98717"
"Denizli",313238,"https://www.google.com/maps/?q=37.77417,29.0875"
"Hatay",305564,"https://www.google.com/maps/?q=37.77417,29.0875"
"Batikent",300000,"https://www.google.com/maps/?q=39.96833,32.73083"
"Elazig",298004,"https://www.google.com/maps/?q=38.67431,39.22321"
"Zeytinburnu",288743,"https://www.google.com/maps/?q=40.99441,28.90417"
"Adapazari",286787,"https://www.google.com/maps/?q=40.78056,30.40333"
"Sultanbeyli",286622,"https://www.google.com/maps/?q=40.96072,29.27067"
"Gebze",281436,"https://www.google.com/maps/?q=40.80276,29.43068"
"Merkezefendi",280341,"https://www.google.com/maps/?q=37.80544,29.04236"
"Sivas",264022,"https://www.google.com/maps/?q=39.74833,37.01611"
"Tarsus",256482,"https://www.google.com/maps/?q=36.91766,34.89277"
"Trabzon",244083,"https://www.google.com/maps/?q=41.005,39.72694"
"Manisa",243971,"https://www.google.com/maps/?q=38.61202,27.42647"
"Sancaktepe",241000,"https://www.google.com/maps/?q=41.00244,29.23187"
"Balikesir",238151,"https://www.google.com/maps/?q=39.64917,27.88611"
"Adiyaman",223744,"https://www.google.com/maps/?q=37.76441,38.27629"
"Esenyurt",211330,"https://www.google.com/maps/?q=41.02697,28.67732"
"Kirikkale",211138,"https://www.google.com/maps/?q=39.84528,33.50639"
"Antakya",210000,"https://www.google.com/maps/?q=36.20655,36.15722"
"Osmaniye",202837,"https://www.google.com/maps/?q=37.07417,36.24778"
"Corlu",202578,"https://www.google.com/maps/?q=41.15917,27.8"
"Arnavutkoey",198165,"https://www.google.com/maps/?q=41.18355,28.7402"
"Izmit",196571,"https://www.google.com/maps/?q=40.76694,29.91694"
"Basaksehir",193750,"https://www.google.com/maps/?q=41.09307,28.80203"
"Cankiri",186074,"https://www.google.com/maps/?q=41.09307,28.80203"
"Kutahya",185008,"https://www.google.com/maps/?q=39.42417,29.98333"
"Corum",183418,"https://www.google.com/maps/?q=40.54889,34.95333"
"Siverek",175341,"https://www.google.com/maps/?q=37.75503,39.31667"
"Isparta",172334,"https://www.google.com/maps/?q=37.76444,30.55222"
"Gumushane",170173,"https://www.google.com/maps/?q=37.76444,30.55222"
"Bueyuekcekmece",163140,"https://www.google.com/maps/?q=41.02072,28.58502"
"Aydin",163022,"https://www.google.com/maps/?q=37.84501,27.83963"
"Iskenderun",159965,"https://www.google.com/maps/?q=36.58718,36.17347"
"Viransehir",154163,"https://www.google.com/maps/?q=37.22349,39.75519"
"Usak",152862,"https://www.google.com/maps/?q=38.67351,29.4058"
"Aksaray",152201,"https://www.google.com/maps/?q=38.37255,34.02537"
"Kiziltepe",150174,"https://www.google.com/maps/?q=37.18836,40.57723"
"Afyonkarahisar",146136,"https://www.google.com/maps/?q=38.75667,30.54333"
"Inegol",133959,"https://www.google.com/maps/?q=40.07806,29.51333"
"Tokat",129702,"https://www.google.com/maps/?q=40.31389,36.55444"
"Edirne",126470,"https://www.google.com/maps/?q=41.67719,26.55597"
"Beylikduezue",122452,"https://www.google.com/maps/?q=40.982,28.6399"
"Tekirdag",122287,"https://www.google.com/maps/?q=40.9781,27.51101"
"Karaman",120399,"https://www.google.com/maps/?q=37.18111,33.215"
"Nazilli",119370,"https://www.google.com/maps/?q=37.91631,28.32225"
"Ordu",116788,"https://www.google.com/maps/?q=40.97782,37.89047"
"Siirt",114034,"https://www.google.com/maps/?q=37.9293,41.94134"
"Erzincan",114027,"https://www.google.com/maps/?q=39.73919,39.49015"
"Alanya",112969,"https://www.google.com/maps/?q=36.54375,31.99982"
"Turhal",110884,"https://www.google.com/maps/?q=40.3875,36.08111"
"Bandirma",107631,"https://www.google.com/maps/?q=40.35222,27.97667"
"Turgutlu",103292,"https://www.google.com/maps/?q=38.49533,27.6997"
"Mustafakemalpasa",101412,"https://www.google.com/maps/?q=40.03815,28.40866"
"Zonguldak",100229,"https://www.google.com/maps/?q=41.45139,31.79305"
"Manavgat",99254,"https://www.google.com/maps/?q=36.78667,31.44306"
"Giresun",98864,"https://www.google.com/maps/?q=40.91698,38.38741"
"Karabuk",97481,"https://www.google.com/maps/?q=41.20488,32.62768"
"Bolu",96629,"https://www.google.com/maps/?q=40.73583,31.60611"
"Ceyhan",96303,"https://www.google.com/maps/?q=37.02472,35.8175"
"Kirsehir",94336,"https://www.google.com/maps/?q=39.14583,34.16389"
"Polatli",93262,"https://www.google.com/maps/?q=39.57715,32.14132"
"Bafra",92944,"https://www.google.com/maps/?q=41.56778,35.90694"
"Rize",92772,"https://www.google.com/maps/?q=41.02083,40.52194"
"Eregli",92117,"https://www.google.com/maps/?q=37.51333,34.04672"
"Agri",92022,"https://www.google.com/maps/?q=39.71944,43.05139"
"Ercis",91915,"https://www.google.com/maps/?q=39.02587,43.35964"
"Nigde",91039,"https://www.google.com/maps/?q=37.96583,34.67935"
"Luleburgaz",90899,"https://www.google.com/maps/?q=41.40385,27.35918"
"Korfez",90580,"https://www.google.com/maps/?q=40.76704,29.78275"
"Nusaybin",88977,"https://www.google.com/maps/?q=37.07028,41.21465"
"Salihli",88906,"https://www.google.com/maps/?q=38.48258,28.14774"
"Eregli",88848,"https://www.google.com/maps/?q=41.28261,31.41806"
"Kozan",88115,"https://www.google.com/maps/?q=37.45517,35.81573"
"Yozgat",87881,"https://www.google.com/maps/?q=39.82,34.80444"
"Canakkale",87791,"https://www.google.com/maps/?q=40.15552,26.41271"
"Patnos",87451,"https://www.google.com/maps/?q=39.22493,42.85693"
"Akhisar",84659,"https://www.google.com/maps/?q=38.91852,27.84006"
"Cerkezkoey",84234,"https://www.google.com/maps/?q=41.28629,27.99939"
"Amasya",82896,"https://www.google.com/maps/?q=40.65333,35.83306"
"Mus",82536,"https://www.google.com/maps/?q=38.73163,41.48482"
"Nizip",82308,"https://www.google.com/maps/?q=37.00972,37.79417"
"Kilis",82301,"https://www.google.com/maps/?q=36.71611,37.115"
"Fatsa",82160,"https://www.google.com/maps/?q=41.02778,37.50139"
"Cizre",80992,"https://www.google.com/maps/?q=37.33024,42.18484"
"Bingol",80568,"https://www.google.com/maps/?q=38.88472,40.49389"
"Elbistan",80456,"https://www.google.com/maps/?q=38.20591,37.1983"
"Hakkari",77699,"https://www.google.com/maps/?q=37.57444,43.74083"
"UEnye",77585,"https://www.google.com/maps/?q=41.13139,37.2825"
"Kars",77486,"https://www.google.com/maps/?q=40.59825,43.08548"
"Midyat",76268,"https://www.google.com/maps/?q=37.41908,41.33909"
"Igdir",75721,"https://www.google.com/maps/?q=39.92371,44.045"
"Nevsehir",75527,"https://www.google.com/maps/?q=38.625,34.71222"
"Silifke",75315,"https://www.google.com/maps/?q=36.37778,33.93444"
"Silopi",74798,"https://www.google.com/maps/?q=37.24379,42.46345"
"Bismil",74493,"https://www.google.com/maps/?q=37.84514,40.65931"
"Belek",73260,"https://www.google.com/maps/?q=36.86278,31.05556"
"Tatvan",73222,"https://www.google.com/maps/?q=38.49221,42.28269"
"Kahta",73105,"https://www.google.com/maps/?q=37.78552,38.6237"
"Yuksekova",71729,"https://www.google.com/maps/?q=37.57362,44.28716"
"Khanjarah",71379,"https://www.google.com/maps/?q=40.59995,33.6153"
"Mardin",71373,"https://www.google.com/maps/?q=37.31309,40.74357"
"Yalova",71289,"https://www.google.com/maps/?q=40.65501,29.27693"
"Gemlik",71063,"https://www.google.com/maps/?q=40.43094,29.15969"
"Kastamonu",70402,"https://www.google.com/maps/?q=41.37805,33.77528"
"Kadirli",70248,"https://www.google.com/maps/?q=37.37389,36.09611"
"Dogubayazit",70171,"https://www.google.com/maps/?q=39.54694,44.08417"
"Ayvalik",70002,"https://www.google.com/maps/?q=39.31927,26.69341"
"Soeke",68230,"https://www.google.com/maps/?q=37.7482,27.40614"
"Ardesen",67965,"https://www.google.com/maps/?q=41.19111,40.9875"
"OEdemis",67153,"https://www.google.com/maps/?q=38.2278,27.96955"
"Burdur",66158,"https://www.google.com/maps/?q=37.72028,30.29083"
"Silvan",65956,"https://www.google.com/maps/?q=38.13708,41.00817"
"Soma",65934,"https://www.google.com/maps/?q=39.18554,27.60945"
"Ahlat",64695,"https://www.google.com/maps/?q=38.7489,42.48007"
"Aksehir",64446,"https://www.google.com/maps/?q=38.3575,31.41639"
"Kusadasi",63177,"https://www.google.com/maps/?q=37.86014,27.25713"
"Sorgun",62862,"https://www.google.com/maps/?q=39.81012,35.18596"
"Cubuk",62602,"https://www.google.com/maps/?q=40.23861,33.03222"
"Kirikhan",60916,"https://www.google.com/maps/?q=36.49939,36.35755"
"Fethiye",60437,"https://www.google.com/maps/?q=36.64038,29.12758"
"Kirklareli",58223,"https://www.google.com/maps/?q=41.73508,27.22521"
"Duzce",57739,"https://www.google.com/maps/?q=40.83889,31.16389"
"Bergama",57200,"https://www.google.com/maps/?q=39.12074,27.18052"
"Anamur",57128,"https://www.google.com/maps/?q=36.07508,32.83691"
"Reyhanli",56995,"https://www.google.com/maps/?q=36.26791,36.56747"
"Doertyol",56513,"https://www.google.com/maps/?q=36.83917,36.23025"
"Goelcuek",56189,"https://www.google.com/maps/?q=40.70323,29.87216"
"Bolvadin",55870,"https://www.google.com/maps/?q=38.71111,31.04861"
"Zile",55680,"https://www.google.com/maps/?q=40.30306,35.88639"
"Eminoenue",55548,"https://www.google.com/maps/?q=41.01766,28.97438"
"Bozuyuk",55365,"https://www.google.com/maps/?q=39.90778,30.03667"
"Menemen",53489,"https://www.google.com/maps/?q=38.60754,27.06938"
"Silivri",53167,"https://www.google.com/maps/?q=41.07393,28.24644"
"Adilcevaz",52781,"https://www.google.com/maps/?q=38.79911,42.73159"
"Sirnak",52743,"https://www.google.com/maps/?q=37.51393,42.45432"
"Ergani",52684,"https://www.google.com/maps/?q=38.26899,39.75446"
"Erbaa",52185,"https://www.google.com/maps/?q=40.66889,36.5675"
"Tavsanli",52182,"https://www.google.com/maps/?q=39.54237,29.49866"
"Orhangazi",51792,"https://www.google.com/maps/?q=40.48917,29.30889"
"Seydisehir",51089,"https://www.google.com/maps/?q=37.41926,31.84527"
"Merzifon",50658,"https://www.google.com/maps/?q=40.87333,35.46306"
"Kavakli",50502,"https://www.google.com/maps/?q=41.09258,28.33172"
"Carsamba",50459,"https://www.google.com/maps/?q=41.19889,36.72194"
"Torbali",50303,"https://www.google.com/maps/?q=38.1519,27.36223"
"guengoeren merter",50000,"https://www.google.com/maps/?q=41.00711,28.88795"
"Merter Keresteciler",50000,"https://www.google.com/maps/?q=41.01295,28.88593"
"Niksar",49865,"https://www.google.com/maps/?q=40.59167,36.95167"
"Keskin",49679,"https://www.google.com/maps/?q=39.67306,33.61361"
"Karapinar",49509,"https://www.google.com/maps/?q=37.71596,33.55064"
"Mut",49397,"https://www.google.com/maps/?q=36.64389,33.43885"
"Mugla",48183,"https://www.google.com/maps/?q=37.21807,28.3665"
"Alasehir",48147,"https://www.google.com/maps/?q=38.35083,28.51718"
"Suluova",47572,"https://www.google.com/maps/?q=40.83129,35.64788"
"Sebin Karahisar",47360,"https://www.google.com/maps/?q=40.28833,38.42361"
"Tire",47220,"https://www.google.com/maps/?q=38.08877,27.73508"
"Kulu",47037,"https://www.google.com/maps/?q=39.09513,33.07989"
"Suruc",46694,"https://www.google.com/maps/?q=36.97612,38.42533"
"Erdemli",46570,"https://www.google.com/maps/?q=36.60498,34.30836"
"Bitlis",46111,"https://www.google.com/maps/?q=38.40115,42.10784"
"Cumra",45657,"https://www.google.com/maps/?q=37.5732,32.77446"
"Urla",45199,"https://www.google.com/maps/?q=38.32292,26.76403"
"Akcaabat",45105,"https://www.google.com/maps/?q=41.02121,39.57146"
"Aliaga",44883,"https://www.google.com/maps/?q=38.79975,26.97203"
"Kesan",44644,"https://www.google.com/maps/?q=40.85583,26.63028"
"Beysehir",44460,"https://www.google.com/maps/?q=37.67735,31.72458"
"Birecik",44284,"https://www.google.com/maps/?q=37.02577,37.97841"
"Karacabey",44256,"https://www.google.com/maps/?q=40.21323,28.3612"
"Sereflikochisar",44101,"https://www.google.com/maps/?q=38.93925,33.5386"
